name,samples,mean_ns,p50_ns,p90_ns,p99_ns,p999_ns,max_ns
Cold bench,10000,1434.5,895,1535,12287,36863,779042
Warm bench,10000,1150.1,1151,1407,9215,18431,262542
Cold bench,10000,746.0,383,831,2559,10239,2266000
Warm bench,10000,348.7,175,319,703,18431,384459
